operation,variant,bytes,iterations,samples,median_ns,mad_ns,min_ns,max_ns,median_cycles,cycles_per_byte,shard_gb_s,logical_traffic_gb_s,freq_before_mhz,freq_after_mhz,checksum
radix4,scalar,16777216,1,9,18561357.000,69941.000,18434025.000,18730799.000,79812816.000,4.757,0.904,7.231,5453.236,5453.424,28
radix8,scalar,16777216,1,9,46490667.000,85991.000,46387076.000,46588420.000,199907172.000,11.915,0.361,5.774,5504.280,5504.280,100
codec,scalar,16777216,1,9,80368014.000,5980.000,80360354.000,80426374.000,345577627.000,20.598,0.209,7.515,5539.822,5539.822,35
copy,avx2,16777216,1,9,232163.000,1210.000,230854.000,304445.000,998417.000,0.060,72.265,144.530,5541.329,5550.394,143
xor,avx2,16777216,1,9,343864.000,2430.000,337645.000,347015.000,1478727.000,0.088,48.790,146.371,5551.119,5551.119,82
mul,avx2,16777216,1,9,413006.000,7790.000,395536.000,423886.000,1776029.000,0.106,40.622,81.244,5517.072,5507.735,110
radix4,avx2,16777216,1,9,1270609.000,50602.000,1195027.000,1440661.000,5463709.000,0.326,13.204,105.633,5345.953,5329.903,223
radix8,avx2,16777216,1,9,4505955.000,144393.000,4230020.000,4749038.000,19375413.000,1.155,3.723,59.573,5309.621,5314.068,202
codec,avx2,16777216,1,9,8978729.000,38691.000,8940038.000,9093500.000,38608152.000,2.301,1.869,67.268,5261.588,5261.441,145
copy,avx512bw,16777216,1,9,205643.000,720.000,204923.000,304724.000,884381.000,0.053,81.584,163.168,5260.000,5265.063,61
xor,avx512bw,16777216,1,9,308974.000,469.000,308285.000,312195.000,1328700.000,0.079,54.300,162.899,5282.330,5282.330,224
mul,avx512bw,16777216,1,9,210013.000,1160.000,208393.000,211273.000,903258.000,0.054,79.887,159.773,5284.435,5276.188,220
radix4,avx512bw,16777216,1,9,943203.000,7590.000,932054.000,1015885.000,4055846.000,0.242,17.787,142.300,5225.264,5216.416,109
radix8,avx512bw,16777216,1,9,3178656.000,26300.000,3088584.000,3611762.000,13668152.000,0.815,5.278,84.449,5259.254,5270.760,120
codec,avx512bw,16777216,1,9,5902475.000,17330.000,5884304.000,6090937.000,25380363.000,1.513,2.842,102.327,5246.131,5242.727,5
copy,avx512vbmi,16777216,1,9,206033.000,470.000,205563.000,339495.000,886058.000,0.053,81.430,162.860,5252.970,5252.970,169
xor,avx512vbmi,16777216,1,9,309954.000,709.000,309245.000,312824.000,1332914.000,0.079,54.128,162.384,5266.945,5266.945,116
mul,avx512vbmi,16777216,1,9,267914.000,780.000,266154.000,270284.000,1152099.000,0.069,62.622,125.243,5265.267,5265.267,72
radix4,avx512vbmi,16777216,1,9,1340520.000,6860.000,1275428.000,1356249.000,5764322.000,0.344,12.515,100.124,5206.920,5208.969,249
radix8,avx512vbmi,16777216,1,9,4258452.000,14352.000,4173740.000,4630057.000,18311206.000,1.091,3.940,63.036,5289.888,5301.424,236
codec,avx512vbmi,16777216,1,9,8476172.000,21161.000,8438551.000,8546813.000,36447187.000,2.172,1.979,71.256,5254.754,5252.089,224
