operation,variant,bytes,iterations,samples,median_ns,mad_ns,min_ns,max_ns,median_cycles,cycles_per_byte,shard_gb_s,logical_traffic_gb_s,freq_before_mhz,freq_after_mhz,checksum
codec,avx512bw,1048576,1,9,300215.000,610.000,299404.000,303284.000,1291075.000,1.231,3.493,125.739,5204.753,5203.415,243
copy,avx512vbmi,1048576,16,9,14063.375,24.938,14015.812,14278.375,60482.188,0.058,74.561,149.122,5199.620,5199.620,11
xor,avx512vbmi,1048576,11,9,22433.909,26.364,22341.273,22558.545,96476.364,0.092,46.741,140.222,5217.455,5217.455,4
mul,avx512vbmi,1048576,16,9,16159.000,106.875,16004.000,16564.000,69488.000,0.066,64.891,129.782,5221.667,5221.667,247
radix4,avx512vbmi,1048576,4,9,77783.500,197.500,77483.750,78423.750,334507.750,0.319,13.481,107.846,5176.551,5176.551,63
radix8,avx512vbmi,1048576,2,9,191263.000,300.000,190152.500,192812.500,822482.500,0.784,5.482,87.718,5165.867,5165.079,57
codec,avx512vbmi,1048576,1,9,471697.000,1349.000,459436.000,474657.000,2028396.000,1.934,2.223,80.028,5169.470,5169.895,34
copy,scalar,4194304,4,9,66590.750,372.750,66191.000,67976.000,286358.500,0.068,62.986,125.973,5178.235,5178.235,218
xor,scalar,4194304,3,9,101164.667,330.333,100558.000,101711.333,435059.667,0.104,41.460,124.381,5223.716,5223.716,217
mul,scalar,4194304,4,9,822214.250,3229.750,815659.250,828051.750,3535503.000,0.843,5.101,10.202,5243.799,5256.554,152
radix4,scalar,4194304,1,9,4694998.000,12931.000,4672107.000,4726878.000,20188371.000,4.813,0.893,7.147,5346.510,5355.087,213
radix8,scalar,4194304,1,9,11528186.000,20630.000,11493685.000,11631167.000,49570658.000,11.819,0.364,5.821,5508.413,5508.686,198
codec,scalar,4194304,1,9,20005508.000,13580.000,19991928.000,20073709.000,86022575.000,20.509,0.210,7.548,5540.807,5540.807,132
copy,avx2,4194304,4,9,69683.500,515.000,60258.250,70298.500,299667.000,0.071,60.191,120.382,5538.677,5537.627,39
xor,avx2,4194304,3,9,105991.667,1626.667,94865.000,107738.333,455785.667,0.109,39.572,118.716,5541.394,5549.028,36
mul,avx2,4194304,4,9,114024.250,4195.000,109776.750,120224.250,490339.750,0.117,36.784,73.569,5530.186,5530.186,101
radix4,avx2,4194304,1,9,364736.000,8899.000,342575.000,373635.000,1568468.000,0.374,11.500,91.996,5455.965,5455.965,40
radix8,avx2,4194304,1,9,859392.000,5211.000,795051.000,874632.000,3695506.000,0.881,4.881,78.089,5338.389,5333.631,136
codec,avx2,4194304,1,9,1876487.000,4260.000,1869167.000,1905128.000,8068950.000,1.924,2.235,80.467,5221.047,5218.233,239
copy,avx512bw,4194304,4,9,51940.750,40.000,51900.750,52418.250,223374.250,0.053,80.752,161.503,5207.519,5207.519,76
xor,avx512bw,4194304,3,9,77891.000,90.000,77801.000,78717.667,334970.000,0.080,53.848,161.545,5221.490,5221.490,79
mul,avx512bw,4194304,4,9,57711.000,2627.500,51998.250,61201.000,248185.250,0.059,72.678,145.355,5226.445,5226.445,14
radix4,avx512bw,4194304,1,9,216303.000,490.000,215383.000,218743.000,930262.000,0.222,19.391,155.127,5217.966,5217.966,67
radix8,avx512bw,4194304,1,9,457947.000,670.000,455816.000,464866.000,1969271.000,0.470,9.159,146.543,5188.638,5188.638,227
codec,avx512bw,4194304,1,9,1146607.000,1551.000,1144277.000,1158977.000,4930509.000,1.176,3.658,131.688,5186.956,5187.900,34
copy,avx512vbmi,4194304,4,9,52038.250,130.000,51800.750,52488.250,223815.000,0.053,80.600,161.201,5194.210,5194.210,129
xor,avx512vbmi,4194304,3,9,78094.667,60.333,78001.000,78644.333,335844.333,0.080,53.708,161.124,5215.113,5215.113,130
mul,avx512vbmi,4194304,4,9,64781.000,260.000,64326.000,68591.000,278586.250,0.066,64.746,129.492,5219.772,5219.772,195
radix4,avx512vbmi,4194304,1,9,313024.000,339.000,312335.000,315045.000,1346072.000,0.321,13.399,107.194,5157.353,5157.353,142
radix8,avx512vbmi,4194304,1,9,730610.000,2021.000,726940.000,737890.000,3141752.000,0.749,5.741,91.853,5163.446,5165.693,46
codec,avx512vbmi,4194304,1,9,1832946.000,2099.000,1826866.000,1841257.000,7881685.000,1.879,2.288,82.378,5189.768,5193.993,239
copy,scalar,16777216,1,9,218383.000,1270.000,216893.000,233014.000,939206.000,0.056,76.825,153.649,5210.191,5210.191,76
xor,scalar,16777216,1,9,317264.000,610.000,316654.000,319634.000,1364347.000,0.081,52.881,158.643,5247.460,5247.460,145
mul,scalar,16777216,1,9,3257396.000,15281.000,3234447.000,3290837.000,14006734.000,0.835,5.150,10.301,5286.905,5299.562,173
radix4,scalar,16777216,1,9,18450266.000,40501.000,18361635.000,18640648.000,79335215.000,4.729,0.909,7.275,5450.665,5452.558,28
radix8,scalar,16777216,1,9,45867900.000,52130.000,45813049.000,45998502.000,197229347.000,11.756,0.366,5.852,5501.096,5501.096,100
codec,scalar,16777216,1,9,80056512.000,22021.000,80033312.000,80109623.000,344238779.000,20.518,0.210,7.544,5540.771,5540.771,35
copy,avx2,16777216,1,9,284524.000,18680.000,243543.000,378406.000,1223608.000,0.073,58.966,117.932,5538.536,5547.423,143
xor,avx2,16777216,1,9,348865.000,2180.000,344905.000,357495.000,1500270.000,0.089,48.091,144.273,5550.291,5550.291,82
mul,avx2,16777216,1,9,430406.000,8930.000,408926.000,454426.000,1850892.000,0.110,38.980,77.960,5514.749,5504.695,110
radix4,avx2,16777216,1,9,1266228.000,54901.000,1194797.000,1464551.000,5444875.000,0.325,13.250,105.998,5329.624,5310.422,223
radix8,avx2,16777216,1,9,4189140.000,21470.000,4151170.000,4401743.000,18013216.000,1.074,4.005,64.079,5295.145,5308.634,202
codec,avx2,16777216,1,9,10150326.000,35690.000,10114636.000,10342289.000,43645903.000,2.601,1.653,59.503,5269.188,5268.610,145
copy,avx512bw,16777216,1,9,206163.000,880.000,205283.000,337035.000,886617.000,0.053,81.378,162.757,5268.558,5268.558,61
